timestamp,persona,role,tokens,delta_sec,R,R_smooth,sessionId,source_file
2025-10-12 12:24:50.209884+00:00,기타,unknown,1,0.001149,0.5993100379307288,0.3643867124669053,sess_20251012_121851,d:\nas_backup\outputs\resonance_ledger\ledger-20251012.jsonl
2025-10-12 12:24:50.210732+00:00,기타,unknown,1,0.000848,0.5994906320304924,0.36431140511999843,sess_20251012_121851,d:\nas_backup\outputs\resonance_ledger\ledger-20251012.jsonl
2025-10-12 12:24:50.211302+00:00,기타,unknown,1,0.00057,0.5996575231001335,0.47990635916426,,d:\nas_backup\outputs\persona_runs\E1\E1_20251012_191158_design-an-empathic-ai-coach-for-creative-writers-e1-baseline_r12.jsonl
2025-10-12 12:25:00.756990+00:00,기타,unknown,1,10.545688,0.05089043825805337,0.37015582449975437,,d:\nas_backup\outputs\persona_runs\E2_fix\E1_20251012_212429_design-an-empathic-ai-coach-for-creative-writers-e1-baseline_r01.jsonl
2025-10-12 12:25:00.757357+00:00,기타,unknown,1,0.000367,0.5997794481969088,0.4898256159032634,sess_20251012_122431,d:\nas_backup\outputs\resonance_ledger\ledger-20251012.jsonl
2025-10-12 12:25:36.087673+00:00,기타,unknown,1,35.330316,0.015368445830807022,0.373037297483279,,d:\nas_backup\outputs\persona_runs\E2_fix\E1_20251012_212429_design-an-empathic-ai-coach-for-creative-writers-e1-baseline_r01.jsonl
2025-10-12 12:25:36.088554+00:00,기타,unknown,1,0.000881,0.5994708273758063,0.3730333365523418,sess_20251012_122431,d:\nas_backup\outputs\resonance_ledger\ledger-20251012.jsonl
2025-10-12 12:27:16.273878+00:00,기타,unknown,1,100.185324,0.0047622236522708635,0.25405427666276925,,d:\nas_backup\outputs\persona_runs\E2_fix\E1_20251012_212429_design-an-empathic-ai-coach-for-creative-writers-e1-baseline_r01.jsonl
2025-10-12 12:27:16.275759+00:00,기타,unknown,1,0.001881,0.5988713051064867,0.3636504500324559,sess_20251012_122431,d:\nas_backup\outputs\resonance_ledger\ledger-20251012.jsonl
2025-10-12 12:27:16.276551+00:00,기타,unknown,1,0.000792,0.5995242429180898,0.36359940897669213,sess_20251012_122431,d:\nas_backup\outputs\resonance_ledger\ledger-20251012.jsonl
2025-10-12 12:27:16.276787+00:00,기타,unknown,1,0.000236,0.599858155197547,0.48049735085004014,,d:\nas_backup\outputs\persona_runs\E2_fix\E1_20251012_212429_design-an-empathic-ai-coach-for-creative-writers-e1-baseline_r01.jsonl
2025-10-12 12:27:50.236782+00:00,기타,unknown,1,33.959995,0.01601705887922187,0.3638065971507233,,d:\nas_backup\outputs\persona_runs\E1\E1_20251012_191158_design-an-empathic-ai-coach-for-creative-writers-e1-baseline_r12.jsonl
2025-10-12 12:27:50.238885+00:00,기타,unknown,1,0.002103,0.5987383734621813,0.4826018271127054,sess_20251012_121851,d:\nas_backup\outputs\resonance_ledger\ledger-20251012.jsonl
2025-10-12 12:27:57.019675+00:00,기타,unknown,1,6.78079,0.07608539450159582,0.3780446449917272,,d:\nas_backup\outputs\persona_runs\E2_fix\E1_20251012_212429_assess-emotional-resilience-for-remote-research-teams-e1-baseline_r01.jsonl
2025-10-12 12:27:57.020073+00:00,기타,unknown,1,0.000398,0.5997608258922488,0.37809196158655894,sess_20251012_122719,d:\nas_backup\outputs\resonance_ledger\ledger-20251012.jsonl
2025-10-12 12:28:27.534169+00:00,기타,unknown,1,30.514096,0.01789737224770083,0.26169980499658974,,d:\nas_backup\outputs\persona_runs\E1\E1_20251012_191158_design-an-empathic-ai-coach-for-creative-writers-e1-baseline_r12.jsonl
2025-10-12 12:28:27.535131+00:00,기타,unknown,1,0.000962,0.5994222214870438,0.3783808375181541,sess_20251012_121851,d:\nas_backup\outputs\resonance_ledger\ledger-20251012.jsonl
2025-10-12 12:29:09.504805+00:00,기타,unknown,1,41.969674,0.012811634054890454,0.2611954896366959,,d:\nas_backup\outputs\persona_runs\E2_fix\E1_20251012_212429_assess-emotional-resilience-for-remote-research-teams-e1-baseline_r01.jsonl
2025-10-12 12:29:09.505812+00:00,기타,unknown,1,0.001007,0.5993952216144985,0.36585745505927647,sess_20251012_122719,d:\nas_backup\outputs\resonance_ledger\ledger-20251012.jsonl
2025-10-12 12:29:58.688228+00:00,기타,unknown,1,49.182416,0.010800733111561588,0.24806543650313903,,d:\nas_backup\outputs\persona_runs\E2_fix\E1_20251012_212429_assess-emotional-resilience-for-remote-research-teams-e1-baseline_r01.jsonl
2025-10-12 12:29:58.689933+00:00,기타,unknown,1,0.001705,0.5989767342287584,0.3642813088993505,sess_20251012_122719,d:\nas_backup\outputs\resonance_ledger\ledger-20251012.jsonl
2025-10-12 12:29:58.690457+00:00,기타,unknown,1,0.000524,0.5996851471118073,0.3643338940243033,sess_20251012_122719,d:\nas_backup\outputs\resonance_ledger\ledger-20251012.jsonl
2025-10-12 12:29:58.690731+00:00,기타,unknown,1,0.000274,0.5998353220364888,0.4817386316206229,,d:\nas_backup\outputs\persona_runs\E2_fix\E1_20251012_212429_assess-emotional-resilience-for-remote-research-teams-e1-baseline_r01.jsonl
2025-10-12 12:32:41.242358+00:00,기타,unknown,1,162.551627,0.002496632655788754,0.36235891382888097,,d:\nas_backup\outputs\persona_runs\E2_fix2\E1_20251012_213209_design-an-empathic-ai-coach-for-creative-writers-e1-baseline_r01.jsonl
2025-10-12 12:32:41.243272+00:00,기타,unknown,1,0.000914,0.5994510240270335,0.48008897201197537,sess_20251012_123212,d:\nas_backup\outputs\resonance_ledger\ledger-20251012.jsonl
2025-10-12 12:33:09.809309+00:00,기타,unknown,1,28.566037,0.019154293419252334,0.3641244838500741,,d:\nas_backup\outputs\persona_runs\E2_fix2\E1_20251012_213209_design-an-empathic-ai-coach-for-creative-writers-e1-baseline_r01.jsonl
2025-10-12 12:33:09.810602+00:00,기타,unknown,1,0.001293,0.5992236791505298,0.36403219025781863,sess_20251012_123212,d:\nas_backup\outputs\resonance_ledger\ledger-20251012.jsonl
2025-10-12 12:34:27.586060+00:00,기타,unknown,1,77.775458,0.0064524104358256035,0.24535560793768602,,d:\nas_backup\outputs\persona_runs\E1\E1_20251012_191158_design-an-empathic-ai-coach-for-creative-writers-e1-baseline_r12.jsonl
2025-10-12 12:34:27.587877+00:00,기타,unknown,1,0.001817,0.5989096386830782,0.3646382091431438,sess_20251012_121851,d:\nas_backup\outputs\resonance_ledger\ledger-20251012.jsonl
2025-10-12 12:34:27.588443+00:00,기타,unknown,1,0.000566,0.5996599250872745,0.3646799893551921,sess_20251012_121851,d:\nas_backup\outputs\resonance_ledger\ledger-20251012.jsonl
