Timestamp,LocalMs,CloudMs,GatewayMs,LocalOnline,CloudOnline,GatewayOnline
2025-10-30T18:48:06,2061,272,215,1,1,1
2025-10-30T18:53:06,2048,262,216,1,1,1
2025-10-30T18:58:06,2039,274,222,1,1,1
2025-10-30T19:03:06,2036,273,218,1,1,1
2025-10-30T19:08:06,2044,267,220,1,1,1
2025-10-30T19:13:06,2031,269,227,1,1,1
2025-10-30T19:18:06,2077,271,215,1,1,1
2025-10-30T19:23:10,2036,275,216,1,1,1
2025-10-30T19:28:06,2050,226,218,1,1,1
2025-10-30T19:33:06,2058,260,222,1,1,1
2025-10-30T19:38:06,2046,273,217,1,1,1
2025-10-30T19:43:06,2041,268,215,1,1,1
2025-10-30T19:48:06,2071,266,213,1,1,1
2025-10-30T19:53:06,2051,302,214,1,1,1
2025-10-30T19:58:06,2042,265,216,1,1,1
2025-10-30T20:03:06,2040,271,213,1,1,1
2025-10-30T20:08:06,2044,275,215,1,1,1
2025-10-30T20:13:06,2058,268,215,1,1,1
2025-10-30T20:18:06,2045,306,218,1,1,1
2025-10-30T20:23:06,2053,297,217,1,1,1
2025-10-30T20:28:11,2046,266,215,1,1,1
2025-10-30T20:33:06,2052,269,219,1,1,1
2025-10-30T20:38:06,2046,294,229,1,1,1
2025-10-30T20:43:05,2028,266,220,1,1,1
2025-10-30T20:48:05,2033,263,217,1,1,1
2025-10-30T20:53:05,2032,286,215,1,1,1
2025-10-30T20:58:05,2055,301,225,1,1,1
2025-10-30T21:03:05,2044,267,230,1,1,1
2025-10-30T21:08:05,2053,271,213,1,1,1
2025-10-30T21:13:05,2054,266,217,1,1,1
2025-10-30T21:18:05,2043,273,214,1,1,1
2025-10-30T21:23:05,2034,296,214,1,1,1
2025-10-30T21:28:05,2065,276,216,1,1,1
2025-10-30T21:33:05,2042,264,249,1,1,1
2025-10-30T21:38:05,2045,274,216,1,1,1
2025-10-30T21:43:05,2042,266,216,1,1,1
2025-10-30T21:48:05,2058,276,215,1,1,1
2025-10-30T21:53:06,2034,639,225,1,1,1
2025-10-30T21:58:05,2038,277,215,1,1,1
2025-10-30T22:03:05,2039,273,221,1,1,1
2025-10-30T22:08:05,2031,265,223,1,1,1
2025-10-30T22:13:05,2054,270,273,1,1,1
2025-10-30T22:18:05,2049,277,220,1,1,1
2025-10-30T22:23:05,2045,269,240,1,1,1
2025-10-30T22:28:05,2031,262,227,1,1,1
2025-10-30T22:33:12,2043,283,232,1,1,1
2025-10-30T22:38:05,2046,269,231,1,1,1
2025-10-30T22:43:05,2035,270,221,1,1,1
2025-10-30T22:48:05,2034,325,219,1,1,1
2025-10-30T22:53:05,2065,273,220,1,1,1
2025-10-30T22:58:06,2030,265,238,1,1,1
2025-10-30T23:03:05,2064,270,226,1,1,1
2025-10-30T23:08:05,2071,300,248,1,1,1
2025-10-30T23:13:05,2069,312,253,1,1,1
2025-10-30T23:18:05,2035,372,225,1,1,1
2025-10-30T23:23:05,2048,306,222,1,1,1
2025-10-30T23:28:05,2059,281,279,1,1,1
2025-10-30T23:33:06,2071,278,225,1,1,1
2025-10-30T23:38:09,2056,279,235,1,1,1
2025-10-30T23:43:05,2065,281,228,1,1,1
2025-10-30T23:48:05,2055,320,222,1,1,1
2025-10-30T23:53:05,2033,278,223,1,1,1
2025-10-30T23:58:05,2060,275,215,1,1,1
2025-10-31T00:03:05,2038,276,222,1,1,1
2025-10-31T00:08:05,2030,267,238,1,1,1
2025-10-31T00:13:05,2059,268,216,1,1,1
2025-10-31T00:18:05,2056,299,220,1,1,1
2025-10-31T00:23:05,2042,267,215,1,1,1
2025-10-31T00:28:05,2046,270,223,1,1,1
2025-10-31T00:33:05,2040,295,234,1,1,1
2025-10-31T00:38:05,2065,266,242,1,1,1
2025-10-31T06:48:19,2051,289,214,1,1,1
2025-10-31T06:53:06,2062,231,218,1,1,1
2025-10-31T06:58:06,2045,262,219,1,1,1
2025-10-31T07:03:06,2062,276,227,1,1,1
2025-10-31T07:08:06,2059,286,212,1,1,1
2025-10-31T07:13:06,2060,307,217,1,1,1
2025-10-31T07:18:06,2067,264,214,1,1,1
2025-10-31T07:23:06,2057,298,213,1,1,1
2025-10-31T07:28:06,2073,272,221,1,1,1
2025-10-31T07:33:06,2070,269,214,1,1,1
2025-10-31T07:38:06,2063,270,218,1,1,1
2025-10-31T07:43:06,2065,265,215,1,1,1
2025-10-31T07:48:06,2069,262,217,1,1,1
2025-10-31T07:53:06,2072,263,217,1,1,1
2025-10-31T07:58:06,2059,260,212,1,1,1
2025-10-31T08:03:07,2073,1205,216,1,1,1
2025-10-31T08:08:06,2060,272,231,1,1,1
2025-10-31T08:13:06,2066,270,218,1,1,1
2025-10-31T08:18:06,2053,263,223,1,1,1
2025-10-31T08:23:06,2050,272,219,1,1,1
2025-10-31T08:28:06,2073,266,216,1,1,1
2025-10-31T08:33:06,2070,271,221,1,1,1
2025-10-31T08:38:06,2062,296,222,1,1,1
2025-10-31T08:43:06,2064,273,220,1,1,1
2025-10-31T08:48:06,2057,266,214,1,1,1
2025-10-31T08:53:12,2062,305,216,1,1,1
2025-10-31T08:58:06,2058,265,217,1,1,1
